layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
0,cs_hi,english,EN_in_cs_hi_vs_english,0.38954298034155976,0.01863460675436324,0.3851725275929387,0.06884451585911285,999
0,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.6421702484015712,0.08635927205820178,0.799325172756766,0.12116985423517165,999
0,cs_fr,english,EN_in_cs_fr_vs_english,0.5237799653316246,0.059656147036807404,0.7468839128155846,0.08749017163742137,999
0,cs_fr,french,EN_in_cs_fr_vs_french,0.5666132676453685,0.06354652395732643,0.77848423950307,0.08692736653557079,999
1,cs_hi,english,EN_in_cs_hi_vs_english,0.4272825732847802,0.032898506871072056,0.819630475850912,0.037648598599773375,999
1,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5423817023698516,0.08847973363762004,0.8355308774713281,0.07602837842223927,999
1,cs_fr,english,EN_in_cs_fr_vs_english,0.5535760444673027,0.0591472433534871,0.9107325631338317,0.03754976834294191,999
1,cs_fr,french,EN_in_cs_fr_vs_french,0.5695809838087664,0.05337622075256409,0.8879861001137856,0.032984458168713135,999
2,cs_hi,english,EN_in_cs_hi_vs_english,0.38127275777952896,0.024596504025400347,0.15663235703097736,0.14798456254000414,999
2,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5447865785895426,0.06415221190630781,0.649931112611974,0.14892693908665183,999
2,cs_fr,english,EN_in_cs_fr_vs_english,0.5015286896525933,0.056665855275983404,0.6450736541487463,0.17549798136479414,999
2,cs_fr,french,EN_in_cs_fr_vs_french,0.533732937156719,0.05402224587680865,0.710279289327256,0.1362874076216086,999
3,cs_hi,english,EN_in_cs_hi_vs_english,0.5578028366032893,0.03135838159947766,0.9992736578584314,0.0001840297512267509,999
3,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5137049280127668,0.05296851650133472,0.9934875443652347,0.0030308490030077923,999
3,cs_fr,english,EN_in_cs_fr_vs_english,0.6357533780581849,0.06132600265855398,0.9995108876858387,0.00017764079646849027,999
3,cs_fr,french,EN_in_cs_fr_vs_french,0.6978007399070721,0.07246134739043533,0.9995098901582552,0.0003996451060242776,999
4,cs_hi,english,EN_in_cs_hi_vs_english,0.5733089976124054,0.08204892810883549,0.9826232363153864,0.012944845797471335,999
4,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4261840531536592,0.06066583676359463,0.8011897043422894,0.0734647505815521,999
4,cs_fr,english,EN_in_cs_fr_vs_english,0.6546926537659289,0.07028529370848144,0.9890451289273359,0.008374503387877244,999
4,cs_fr,french,EN_in_cs_fr_vs_french,0.5791315805885935,0.059384947174902225,0.972182182339696,0.01967820417733247,999
5,cs_hi,english,EN_in_cs_hi_vs_english,0.3981699799347399,0.03578753057343555,0.8017406126221379,0.0783899653013384,999
5,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.465621098463877,0.08210529565202355,0.5126326005380075,0.1314781009102808,999
5,cs_fr,english,EN_in_cs_fr_vs_english,0.5364381159642179,0.05639710202037558,0.9191096914303792,0.032431721203847255,999
5,cs_fr,french,EN_in_cs_fr_vs_french,0.541120110228935,0.05846865813618037,0.8853717986289207,0.03652015366894942,999
6,cs_hi,english,EN_in_cs_hi_vs_english,0.3836717339268049,0.029495630012339586,0.42348624445503585,0.22212470869022904,999
6,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.4820205143247229,0.08482109573720424,-0.014817517763312516,0.3627603369922211,999
6,cs_fr,english,EN_in_cs_fr_vs_english,0.5090252596950261,0.049046150280895484,0.6659617220854258,0.15069806784319364,999
6,cs_fr,french,EN_in_cs_fr_vs_french,0.5266184576497392,0.04972174454995007,0.47324010461556715,0.16614489913678968,999
7,cs_hi,english,EN_in_cs_hi_vs_english,0.37861483908871363,0.02221437240415711,0.31092470807117856,0.15558974205136858,999
7,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5046485258182913,0.07109477021206272,0.4668533012897403,0.16828315771918326,999
