key,condition,matrix_ratio
fr_eng_s_e_s_n:45_cs_fr,cs_fr,0.6307692307692307
fr_eng_s_e_s_n:45_cs_hi,cs_hi,0.7658536585365854
fr_eng_s_e_s_n:46_cs_fr,cs_fr,0.8615384615384616
fr_eng_s_e_s_n:46_cs_hi,cs_hi,0.7528089887640449
fr_eng_s_e_s_n:47_cs_fr,cs_fr,0.6022727272727273
fr_eng_s_e_s_n:47_cs_hi,cs_hi,0.6648648648648648
fr_eng_s_e_s_n:48_cs_fr,cs_fr,0.7209302325581395
fr_eng_s_e_s_n:48_cs_hi,cs_hi,0.76953125
fr_eng_s_e_s_n:49_cs_fr,cs_fr,0.7793103448275862
fr_eng_s_e_s_n:49_cs_hi,cs_hi,0.7578125
fr_eng_s_e_s_n:50_cs_fr,cs_fr,0.5423728813559322
fr_eng_s_e_s_n:50_cs_hi,cs_hi,0.6422764227642277
fr_eng_s_e_s_n:51_cs_fr,cs_fr,0.8461538461538461
fr_eng_s_e_s_n:51_cs_hi,cs_hi,0.8057553956834532
fr_eng_s_e_s_n:52_cs_fr,cs_fr,0.7655172413793103
fr_eng_s_e_s_n:52_cs_hi,cs_hi,0.78125
fr_eng_s_e_s_n:53_cs_fr,cs_fr,0.7368421052631579
fr_eng_s_e_s_n:53_cs_hi,cs_hi,0.7511961722488039
fr_eng_s_e_s_n:54_cs_fr,cs_fr,0.5517241379310345
fr_eng_s_e_s_n:54_cs_hi,cs_hi,0.788235294117647
fr_eng_s_e_s_n:55_cs_fr,cs_fr,0.7362637362637363
fr_eng_s_e_s_n:55_cs_hi,cs_hi,0.76171875
fr_eng_s_e_s_n:56_cs_fr,cs_fr,0.6296296296296297
fr_eng_s_e_s_n:56_cs_hi,cs_hi,0.7345132743362832
fr_eng_s_e_s_n:57_cs_fr,cs_fr,0.6666666666666666
fr_eng_s_e_s_n:57_cs_hi,cs_hi,0.74609375
fr_eng_s_e_s_n:58_cs_fr,cs_fr,0.71875
fr_eng_s_e_s_n:58_cs_hi,cs_hi,0.7962962962962963
fr_eng_s_e_s_n:59_cs_fr,cs_fr,0.5
fr_eng_s_e_s_n:59_cs_hi,cs_hi,0.7741935483870968
fr_eng_s_e_s_n:60_cs_fr,cs_fr,0.7247706422018348
fr_eng_s_e_s_n:60_cs_hi,cs_hi,0.78515625
fr_eng_s_e_s_n:61_cs_fr,cs_fr,0.8666666666666667
fr_eng_s_e_s_n:61_cs_hi,cs_hi,0.7073170731707317
fr_eng_s_e_s_n:62_cs_fr,cs_fr,0.5983606557377049
fr_eng_s_e_s_n:62_cs_hi,cs_hi,0.79296875
fr_eng_s_e_s_n:63_cs_fr,cs_fr,0.5614035087719298
fr_eng_s_e_s_n:63_cs_hi,cs_hi,0.72265625
fr_eng_s_e_s_n:64_cs_fr,cs_fr,0.744
fr_eng_s_e_s_n:64_cs_hi,cs_hi,0.74609375
fr_eng_s_e_s_n:65_cs_fr,cs_fr,0.47619047619047616
fr_eng_s_e_s_n:65_cs_hi,cs_hi,0.6949152542372882
fr_eng_s_e_s_n:66_cs_fr,cs_fr,0.6213592233009708
fr_eng_s_e_s_n:66_cs_hi,cs_hi,0.76171875
fr_eng_s_e_s_n:67_cs_fr,cs_fr,0.7272727272727273
fr_eng_s_e_s_n:67_cs_hi,cs_hi,0.796875
fr_eng_s_e_s_n:68_cs_fr,cs_fr,0.8974358974358975
fr_eng_s_e_s_n:68_cs_hi,cs_hi,0.7808219178082192
fr_eng_s_e_s_n:69_cs_fr,cs_fr,0.875
fr_eng_s_e_s_n:69_cs_hi,cs_hi,0.77734375
fr_eng_s_e_s_n:70_cs_fr,cs_fr,0.616822429906542
fr_eng_s_e_s_n:70_cs_hi,cs_hi,0.6354679802955665
fr_eng_s_e_s_n:71_cs_fr,cs_fr,0.5681818181818182
fr_eng_s_e_s_n:71_cs_hi,cs_hi,0.8011695906432749
fr_eng_s_e_s_n:72_cs_fr,cs_fr,0.6961325966850829
fr_eng_s_e_s_n:72_cs_hi,cs_hi,0.7890625
fr_eng_s_e_s_n:73_cs_fr,cs_fr,0.6428571428571429
fr_eng_s_e_s_n:73_cs_hi,cs_hi,0.770949720670391
fr_eng_s_e_s_n:74_cs_fr,cs_fr,0.5714285714285714
fr_eng_s_e_s_n:74_cs_hi,cs_hi,0.73046875
fr_eng_s_e_s_n:75_cs_fr,cs_fr,0.5517241379310345
fr_eng_s_e_s_n:75_cs_hi,cs_hi,0.8
fr_eng_s_e_s_n:76_cs_fr,cs_fr,0.5675675675675675
fr_eng_s_e_s_n:76_cs_hi,cs_hi,0.71484375
fr_eng_s_e_s_n:77_cs_fr,cs_fr,0.7394957983193278
fr_eng_s_e_s_n:77_cs_hi,cs_hi,0.7734375
fr_eng_s_e_s_n:78_cs_fr,cs_fr,0.7384615384615385
