cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.187919,0.150853,0.136942,-0.037066,-0.050977,211
2,0.061519,0.049921,0.045583,-0.011598,-0.015936,3188
