cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.005914,0.005075,0.005024,-0.000839,-0.000889,20298
2,0.035586,0.054743,0.057548,0.019156,0.021961,2968
