cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,18.371844,16.784111,16.229318,-1.587733,-2.142526,31
2,3.642185,1.098063,0.494388,-2.544122,-3.147796,184
3,5.21292,4.651057,4.44356,-0.561863,-0.76936,301
4,0.275781,0.12783,0.115525,-0.147951,-0.160256,1405
5,0.590026,2.445701,3.176887,1.855675,2.586861,291
6,0.053821,20.294954,27.824407,20.241133,27.770586,1
