cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.000179,0.000284,0.000302,0.000106,0.000123,2064
2,0.004427,0.001438,0.001345,-0.002989,-0.003081,2900
3,0.075745,0.028888,0.027669,-0.046857,-0.048076,1
