cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.031078,0.074331,0.083632,0.043253,0.052553,1470
2,0.114328,0.113998,0.115134,-0.00033,0.000805,1849
3,0.077865,0.004988,0.002658,-0.072877,-0.075207,547
4,0.013281,0.011661,0.01128,-0.001619,-0.002001,8324
