cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.021573,0.00568,0.005135,-0.015893,-0.016438,8243
2,0.133798,0.362377,0.378588,0.228579,0.24479,102
3,0.057382,0.112974,0.11668,0.055592,0.059297,3812
