cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.000376,0.000356,0.00035,-2e-05,-2.6e-05,1847
2,0.004617,0.003614,0.00323,-0.001003,-0.001386,2710
3,0.075745,0.06007,0.054093,-0.015675,-0.021652,1
