cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.30823,0.148094,0.13504,-0.160137,-0.173191,35
2,0.128621,0.062052,0.05667,-0.06657,-0.071951,587
3,0.002681,0.003635,0.00402,0.000955,0.001339,570
4,0.065789,0.032546,0.029807,-0.033243,-0.035982,2249
