cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.004898,0.004113,0.003973,-0.000785,-0.000925,19455
2,0.033428,0.042948,0.045875,0.009521,0.012447,3900
