cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.384907,1.453259,1.696603,1.068352,1.311696,393
2,1.676672,1.466626,1.255016,-0.210046,-0.421656,605
3,0.287274,0.573848,0.682123,0.286574,0.39485,2199
4,0.070012,0.024508,0.022568,-0.045505,-0.047445,9303
5,3.850659,1.813107,1.128843,-2.037551,-2.721816,70
6,0.968133,0.277605,0.089555,-0.690528,-0.878578,1021
