cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.379882,1.075954,1.105021,0.696071,0.725139,2812
2,0.248562,0.037201,0.026093,-0.211361,-0.222469,10615
