cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.360361,1.928605,1.979861,1.568245,1.6195,2915
2,0.450902,0.066125,0.051419,-0.384777,-0.399483,11004
