cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.851346,0.703885,0.610016,-0.147462,-0.24133,1471
2,0.477664,0.207532,0.122716,-0.270133,-0.354949,2253
3,7.804472,6.362259,5.401955,-1.442213,-2.402517,11
4,1.995047,1.662269,1.415217,-0.332779,-0.579831,413
5,0.040608,0.051691,0.055907,0.011084,0.015299,13911
6,5.415164,7.533291,7.610287,2.118127,2.195123,9
7,0.369251,0.753287,0.736265,0.384036,0.367014,1087
