cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,13.19301,7.670581,6.222281,-5.522429,-6.970729,25
2,0.386142,0.124696,0.103168,-0.261445,-0.282974,513
3,20.035997,24.493453,24.811933,4.457456,4.775936,81
4,7.652437,15.143305,16.352441,7.490868,8.700005,94
5,3.916682,7.433751,7.999084,3.517069,4.082402,194
6,12.861705,13.511535,13.263874,0.64983,0.402168,173
7,117.322574,110.042075,106.772681,-7.280499,-10.549893,5
8,35.638096,33.540393,32.432039,-2.097703,-3.206057,42
9,78.868167,20.374283,10.546174,-58.493884,-68.321993,1
