cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.001017,0.001006,0.001044,-1.1e-05,2.7e-05,16589
2,0.019178,0.013169,0.012498,-0.006009,-0.00668,4386
