cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,9.034556,6.001919,4.921907,-3.032638,-4.112649,140
2,0.523859,0.493474,0.516692,-0.030385,-0.007167,2783
