cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.001099,0.000426,0.000421,-0.000673,-0.000677,10657
2,0.007398,0.021895,0.0223,0.014496,0.014902,82
3,0.002273,0.00833,0.008547,0.006057,0.006273,963
4,0.074181,0.049648,0.04898,-0.024533,-0.025201,53
5,0.267924,0.138431,0.135324,-0.129493,-0.1326,2
6,0.010545,0.002021,0.001663,-0.008524,-0.008882,1341
7,0.042656,0.016952,0.015769,-0.025704,-0.026888,49
8,0.020209,0.010954,0.01058,-0.009256,-0.009629,510
9,0.013827,0.011582,0.011466,-0.002245,-0.002361,560
