cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.029893,0.037761,0.041434,0.007867,0.011541,8633
2,1.516124,1.216306,1.109713,-0.299818,-0.406411,3517
3,3.608338,2.899614,2.6401,-0.708724,-0.968239,473
