cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.000977,0.000776,0.000751,-0.000202,-0.000227,10910
2,0.005849,0.0107,0.011436,0.004851,0.005587,427
3,0.011552,0.009074,0.008293,-0.002478,-0.003259,2735
4,0.267923,0.21902,0.205284,-0.048903,-0.06264,2
5,0.049464,0.040746,0.038169,-0.008718,-0.011295,161
