cluster,mean_english,mean_code_switched,mean_target,delta_cs,delta_target,n_neurons
1,0.049277,0.038941,0.042521,-0.010336,-0.006756,9394
2,0.130889,0.763552,0.801991,0.632663,0.671102,543
3,3.823717,1.299571,1.218785,-2.524146,-2.604933,387
4,1.687422,0.54875,0.50589,-1.138672,-1.181531,3131
